tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
37682	Aegilops tauschii	109787503	0	live	LOC109787503		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		Un							
37682	Aegilops tauschii	109768411	0	live	LOC109768411		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
37682	Aegilops tauschii	109752648	0	live	LOC109752648		anthocyanin regulatory R-S protein-like	anthocyanin regulatory R-S protein-like		Un							
37682	Aegilops tauschii	109741617	0	live	LOC109741617		anthocyanin regulatory C1 protein-like	anthocyanin regulatory C1 protein-like		Un							
37682	Aegilops tauschii	109740362	0	live	LOC109740362		anthocyanin regulatory R-S protein-like	anthocyanin regulatory R-S protein-like		Un							
37682	Aegilops tauschii	109735788	0	live	LOC109735788		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		Un							
4615	Ananas comosus	109727140	0	live	LOC109727140		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		22	NC_033642.1	9473940	9475723	plus	2		
4615	Ananas comosus	109716042	0	live	LOC109716042		anthocyanin 3'-O-beta-glucosyltransferase-like	anthocyanin 3'-O-beta-glucosyltransferase-like		10	NC_033630.1	12163186	12165603	plus	2		
4615	Ananas comosus	109715249	0	live	LOC109715249		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase		9	NC_033629.1	11812719	11813624	minus	1		
4615	Ananas comosus	109714802	0	live	LOC109714802		malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		9	NC_033629.1	11813578	11814323	minus	1		
4615	Ananas comosus	109709616	0	live	LOC109709616		anthocyanin 3'-O-beta-glucosyltransferase-like	anthocyanin 3'-O-beta-glucosyltransferase-like		1	NC_033621.1	374236	376080	plus	1		
51953	Elaeis guineensis	109504885	0	live	LOC109504885		anthocyanin regulatory R-S protein-like	anthocyanin regulatory R-S protein-like		Un							
49451	Nicotiana attenuata	109229160	0	live	LOC109229160	A4A49_12620, 3AT2	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like|coumaroyl-coa:anthocyanidin 3-o-glucoside-6''-o-coumaroyltransferase 2		7	NC_031995.1	58723183	58724921	minus	1		
35883	Ipomoea nil	109179878	0	live	LOC109179878		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		Un							
35883	Ipomoea nil	109179877	0	live	LOC109179877		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		Un							
35883	Ipomoea nil	109179809	0	live	LOC109179809		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
35883	Ipomoea nil	109179724	0	live	LOC109179724		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
35883	Ipomoea nil	109156142	0	live	LOC109156142		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
35883	Ipomoea nil	109156135	0	live	LOC109156135		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
35883	Ipomoea nil	109156134	0	live	LOC109156134		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
35883	Ipomoea nil	109155902	0	live	LOC109155902		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
35883	Ipomoea nil	109155878	0	live	LOC109155878		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		Un							
35883	Ipomoea nil	109155877	0	live	LOC109155877		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		Un							
35883	Ipomoea nil	109155676	0	live	LOC109155676		malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		Un							
51240	Juglans regia	109000242	0	live	LOC109000242		anthocyanin regulatory C1 protein-like	anthocyanin regulatory C1 protein-like		Un							
51240	Juglans regia	108987654	0	live	LOC108987654		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		Un							
51240	Juglans regia	108986440	0	live	LOC108986440		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
29729	Gossypium arboreum	108469542	0	live	LOC108469542		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		3	NC_030666.1	84707113	84708818	minus	1		
3914	Vigna angularis	108333717	0	live	LOC108333717	LR48_Vigan05g153600	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		5	NC_030641.1	23209366	23210914	minus	1		
79200	Daucus carota subsp. sativus	108226772	0	live	LOC108226772	DCAR_021219	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		6	NC_030386.1	24961601	24963477	minus	1		
79200	Daucus carota subsp. sativus	108226738	0	live	LOC108226738	DCAR_021222	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		6	NC_030386.1	24948740	24950647	minus	1		
79200	Daucus carota subsp. sativus	108226208	0	live	LOC108226208	DCAR_021218	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		6	NC_030386.1	24968644	24986250	minus	2		
79200	Daucus carota subsp. sativus	108226207	0	live	LOC108226207	DCAR_021221	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		6	NC_030386.1	24953598	24955034	minus	1		
79200	Daucus carota subsp. sativus	108226206	0	live	LOC108226206		malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		6	NC_030386.1	24899862	24901348	plus	1		
79200	Daucus carota subsp. sativus	108224949	0	live	LOC108224949	DCAR_021217	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		6	NC_030386.1	24995128	24997550	minus	2		
79200	Daucus carota subsp. sativus	108224489	0	live	LOC108224489	DCAR_021223	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		6	NC_030386.1	24943863	24945648	minus	1		
79200	Daucus carota subsp. sativus	108214187	0	live	LOC108214187	DCAR_009713	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		3	NC_030383.1	10321159	10323216	plus	1		
79200	Daucus carota subsp. sativus	108208465	0	live	LOC108208465	DCAR_007728	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		2	NC_030382.1	36694218	36695704	plus	1		
79200	Daucus carota subsp. sativus	108208310	0	live	LOC108208310		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		2	NC_030382.1	24009484	24011156	plus	1		
79200	Daucus carota subsp. sativus	108208245	0	live	LOC108208245		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	LOW QUALITY PROTEIN: malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		2	NC_030382.1	24006223	24007136	plus	1		
79200	Daucus carota subsp. sativus	108207548	0	live	LOC108207548		malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		2	NC_030382.1	24016823	24017155	plus	1		
79200	Daucus carota subsp. sativus	108207547	0	live	LOC108207547		malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		2	NC_030382.1	24012371	24013986	plus	2		
79200	Daucus carota subsp. sativus	108196041	0	live	LOC108196041		malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		7	NC_030387.1	1318527	1320801	plus	2		
3750	Malus domestica	108169452	0	live	LOC108169452		anthocyanin regulatory C1 protein-like	LOW QUALITY PROTEIN: anthocyanin regulatory C1 protein-like		15	NC_024253.1	15446910	15448020	minus	3		
3635	Gossypium hirsutum	107930103	0	live	LOC107930103		malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		Un							
3635	Gossypium hirsutum	107900735	0	live	LOC107900735		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		18	NC_030091.1	8109792	8111518	plus	1		
4072	Capsicum annuum	107845935	0	live	LOC107845935		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		10	NC_029986.1	13304688	13306361	plus	1		
4072	Capsicum annuum	107845780	0	live	LOC107845780		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		10	NC_029986.1	10223684	10225352	plus	1		
4072	Capsicum annuum	107845761	0	live	LOC107845761		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		10	NC_029986.1	13600493	13602055	minus	1		
4072	Capsicum annuum	107845634	0	live	LOC107845634		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		10	NC_029986.1	9649089	9650734	plus	1		
4072	Capsicum annuum	107845530	0	live	LOC107845530		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		10	NC_029986.1	13271838	13273517	plus	1		
4072	Capsicum annuum	107844937	0	live	LOC107844937		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		10	NC_029986.1	9431442	9433036	plus	1		
4072	Capsicum annuum	107844839	0	live	LOC107844839		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		10	NC_029986.1	10268849	10270772	plus	2		
4097	Nicotiana tabacum	107826321	0	live	LOC107826321		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
4097	Nicotiana tabacum	107799848	0	live	LOC107799848		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		Un							
4097	Nicotiana tabacum	107794581	0	live	LOC107794581		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
4097	Nicotiana tabacum	107782061	0	live	LOC107782061		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
4097	Nicotiana tabacum	107780514	0	live	LOC107780514		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		Un							
4097	Nicotiana tabacum	107760222	0	live	LOC107760222		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		Un							
130454	Arachis ipaensis	107633114	0	live	LOC107633114		anthocyanin regulatory C1 protein-like	anthocyanin regulatory C1 protein-like		B03	NC_029787.1	47537467	47539826	minus	3		
130454	Arachis ipaensis	107616177	0	live	LOC107616177		anthocyanin regulatory C1 protein-like	anthocyanin regulatory C1 protein-like		B09	NC_029793.1	133753269	133754334	plus	3		
130453	Arachis duranensis	107486700	0	live	LOC107486700		anthocyanin regulatory C1 protein-like	anthocyanin regulatory C1 protein-like		A01	NC_029772.1	38752582	38754170	minus	3		
130453	Arachis duranensis	107462103	0	live	LOC107462103		malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		A08	NC_029779.1	28322394	28323919	minus	1		
326968	Ziziphus jujuba	107421373	0	live	LOC107421373		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		6	NC_029684.1	18675540	18677085	minus	2		
326968	Ziziphus jujuba	107416140	0	live	LOC107416140		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		4	NC_029682.1	10740237	10740701	plus	1		
326968	Ziziphus jujuba	107416138	0	live	LOC107416138		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		4	NC_029682.1	10736454	10736918	plus	1		
326968	Ziziphus jujuba	107415523	0	live	LOC107415523		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		4	NC_029682.1	4395666	4397504	plus	2		
326968	Ziziphus jujuba	107403668	0	live	LOC107403668		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		Un							
39947	Oryza sativa Japonica Group	107276930	0	live	LOC107276930	OSNPB_060145400, P0036F10.6, P0036F10.7	anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like|OSJNBa0007O20.23|OSJNBa0007O20.24|Os06g0145400		6	NC_029261.1	2387359	2390270	plus	2		
28526	Solanum pennellii	107032570	0	live	LOC107032570		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		10	NC_028646.1	2871681	2873362	plus	1		
28526	Solanum pennellii	107002690	0	live	LOC107002690		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		10	NC_028646.1	2876036	2877942	plus	1		
28526	Solanum pennellii	107001978	0	live	LOC107001978		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		10	NC_028646.1	2883370	2884773	plus	1		
28526	Solanum pennellii	107001923	0	live	LOC107001923		anthocyanin 5-aromatic acyltransferase	LOW QUALITY PROTEIN: anthocyanin 5-aromatic acyltransferase		10	NC_028646.1	3811828	3812574	minus	1		
157791	Vigna radiata	106779288	0	live	LOC106779288		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		Un							
4155	Erythranthe guttata	105972103	0	live	LOC105972103	MIMGU_mgv1a006246mg	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
4155	Erythranthe guttata	105972099	0	live	LOC105972099	MIMGU_mgv1a006146mg	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
4155	Erythranthe guttata	105972095	0	live	LOC105972095	MIMGU_mgv1a006230mg	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
4155	Erythranthe guttata	105972079	0	live	LOC105972079	MIMGU_mgv1a006330mg	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
4155	Erythranthe guttata	105972054	0	live	LOC105972054	MIMGU_mgv1a017714mg	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
4155	Erythranthe guttata	105972029	0	live	LOC105972029	MIMGU_mgv1a006931mg	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
4155	Erythranthe guttata	105971993	0	live	LOC105971993	MIMGU_mgv1a022453mg	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
4155	Erythranthe guttata	105971990	0	live	LOC105971990	MIMGU_mgv1a023480mg	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
4155	Erythranthe guttata	105971988	0	live	LOC105971988	MIMGU_mgv1a019718mg	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
4155	Erythranthe guttata	105970572	0	live	LOC105970572	MIMGU_mgv1a005739mg	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
4155	Erythranthe guttata	105970525	0	live	LOC105970525	MIMGU_mgv1a006012mg	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
4155	Erythranthe guttata	105969668	0	live	LOC105969668	MIMGU_mgv1a019239mg	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
4155	Erythranthe guttata	105963726	0	live	LOC105963726		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
4155	Erythranthe guttata	105963723	0	live	LOC105963723	MIMGU_mgv1a006060mg	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
4155	Erythranthe guttata	105959476	0	live	LOC105959476	MIMGU_mgv1a006328mg	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
4155	Erythranthe guttata	105958805	0	live	LOC105958805	MIMGU_mgv1a019731mg	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
4155	Erythranthe guttata	105957541	0	live	LOC105957541	MIMGU_mgv1a026287mg	anthocyanin 3'-O-beta-glucosyltransferase-like	anthocyanin 3'-O-beta-glucosyltransferase-like		Un							
4155	Erythranthe guttata	105950423	0	live	LOC105950423	MIMGU_mgv1a023077mg	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
4155	Erythranthe guttata	105950384	0	live	LOC105950384	MIMGU_mgv1a018592mg	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		Un							
29730	Gossypium raimondii	105791786	0	live	LOC105791786	B456_004G173600	anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		4	NC_026932.1	47513720	47515804	minus	2		
29730	Gossypium raimondii	105789768	0	live	LOC105789768	B456_003G021100	anthocyanin regulatory C1 protein-like	anthocyanin regulatory C1 protein-like		3	NC_026931.1	1576251	1578265	minus	3		
57918	Fragaria vesca	105352730	0	live	LOC105352730		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		LG6	NC_020496.1	30993504	30994254	plus	2		
4182	Sesamum indicum	105178539	0	live	LOC105178539		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		LG16	NC_026160.1	1697795	1699571	minus	1		
4182	Sesamum indicum	105178538	0	live	LOC105178538		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		LG16	NC_026160.1	1688327	1689872	plus	1		
4182	Sesamum indicum	105173411	0	live	LOC105173411		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		LG11	NC_026155.1	6280418	6281945	plus	1		
4182	Sesamum indicum	105173410	0	live	LOC105173410		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		LG11	NC_026155.1	6220930	6222388	plus	1		
4182	Sesamum indicum	105173409	0	live	LOC105173409		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		LG11	NC_026155.1	6198334	6200062	plus	1		
4182	Sesamum indicum	105171502	0	live	LOC105171502		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like		LG1	NC_026145.1	17152443	17154030	plus	1		
4182	Sesamum indicum	105162666	0	live	LOC105162666		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		LG5	NC_026149.1	15826941	15828640	plus	1		
4182	Sesamum indicum	105155339	0	live	LOC105155339		malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase		Un							
75702	Populus euphratica	105142531	0	live	LOC105142531		malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		Un							
75702	Populus euphratica	105126291	0	live	LOC105126291		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		Un							
51953	Elaeis guineensis	105059098	0	live	LOC105059098		malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase		16	NC_026008.1	1856193	1858001	minus	1		
51953	Elaeis guineensis	105056444	0	live	LOC105056444		anthocyanin regulatory C1 protein-like	anthocyanin regulatory C1 protein-like		13	NC_026005.1	19588637	19589864	plus	3		
51953	Elaeis guineensis	105056443	0	live	LOC105056443		anthocyanin regulatory C1 protein-like	anthocyanin regulatory C1 protein-like		13	NC_026005.1	19526797	19528106	plus	3		
51953	Elaeis guineensis	105043109	0	live	LOC105043109		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		4	NC_025996.1	30934437	30935616	minus	2		
51953	Elaeis guineensis	105043108	0	live	LOC105043108		malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	LOW QUALITY PROTEIN: malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		4	NC_025996.1	30986320	30989529	minus	3		
51953	Elaeis guineensis	105043068	0	live	LOC105043068		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		4	NC_025996.1	30775900	30777622	minus	1		
51953	Elaeis guineensis	105042362	0	live	LOC105042362		anthocyanin 3'-O-beta-glucosyltransferase-like	anthocyanin 3'-O-beta-glucosyltransferase-like		3	NC_025995.1	52467928	52469424	plus	1		
51953	Elaeis guineensis	105041787	0	live	LOC105041787		malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like	malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like		3	NC_025995.1	27657450	27661681	plus	2		
51953	Elaeis guineensis	105036807	0	live	LOC105036807		anthocyanin 3'-O-beta-glucosyltransferase-like	anthocyanin 3'-O-beta-glucosyltransferase-like		Un							
3555	Beta vulgaris subsp. vulgaris	104901833	0	live	LOC104901833	BVRB_8g192680	anthocyanin 3'-O-beta-glucosyltransferase-like	anthocyanin 3'-O-beta-glucosyltransferase-like		8	NC_025819.2	31126975	31129765	minus	2		
3555	Beta vulgaris subsp. vulgaris	104895749	0	live	LOC104895749	BVRB_6g136000	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase	malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase		6	NC_025817.2	10804845	10806788	plus	1		
4432	Nelumbo nucifera	104611395	0	live	LOC104611395		anthocyanin regulatory C1 protein-like	anthocyanin regulatory C1 protein-like		Un							
4432	Nelumbo nucifera	104609655	0	live	LOC104609655		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		Un							
4432	Nelumbo nucifera	104605599	0	live	LOC104605599		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		Un							
4432	Nelumbo nucifera	104603436	0	live	LOC104603436		anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		Un							
